GO	X210222Fox_D21.2140	X210222Fox_D21.2141	X210222Fox_D21.2142	X210222Fox_D21.2143	X210222Fox_D21.2144	X210222Fox_D21.2145	X210222Fox_D21.2146	X210222Fox_D21.2147	X210713Fox_D21.6682	X210713Fox_D21.6683	X210713Fox_D21.6684	X210713Fox_D21.6685	X210713Fox_D21.6686	X210713Fox_D21.6687	X210713Fox_D21.6688	X210713Fox_D21.6689	X210713Fox_D21.6690	X210713Fox_D21.6691	X210713Fox_D21.6692	X210713Fox_D21.6693
conjugation (GO:0000746)	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
adenyl-nucleotide exchange factor activity (GO:0000774)	0	0	0	0	0	0	0	0	0	0	9	0	6	0	6	9	6	9	4	9
cell morphogenesis (GO:0000902)	0	0	0	0	0	0	2	3	0	0	13	2	8	0	6	13	6	13	0	13
6,7-dimethyl-8-ribityllumazine synthase activity (GO:0000906)	0	0	0	0	0	0	0	0	0	0	4	0	3	0	4	4	3	4	3	4
DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981)	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA-binding transcription activator activity (GO:0001216)	0	0	0	0	0	0	1	5	0	0	9	0	2	0	6	2	2	12	2	9
ossification (GO:0001503)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
RNA methylation (GO:0001510)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
selenocysteine incorporation (GO:0001514)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
pseudouridine synthesis (GO:0001522)	0	0	1	0	0	0	2	1	0	2	30	7	31	0	28	32	19	33	11	31
lipopolysaccharide binding (GO:0001530)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
cornified envelope (GO:0001533)	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular glucose homeostasis (GO:0001678)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tRNA wobble uridine modification (GO:0002098)	0	1	2	0	0	0	1	0	0	0	6	0	8	0	3	7	5	9	1	9
aminoacyl-tRNA editing activity (GO:0002161)	0	0	3	0	0	0	5	0	0	0	10	2	13	3	10	11	9	7	0	7
tRNA threonylcarbamoyladenosine modification (GO:0002949)	0	0	0	0	0	0	0	2	0	0	5	0	2	0	4	5	3	6	1	5
5'-deoxynucleotidase activity (GO:0002953)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
amino acid transmembrane transport (GO:0003333)	0	0	0	0	0	0	1	0	0	0	2	1	1	0	2	2	2	2	0	2
nucleic acid binding (GO:0003676)	1	19	9	1	1	0	16	25	2	2	71	11	66	1	59	69	54	70	10	75
DNA binding (GO:0003677)	13	55	22	8	0	5	88	65	4	5	279	42	290	10	226	300	239	322	95	355
DNA helicase activity (GO:0003678)	0	0	7	0	0	1	6	4	1	2	12	2	17	1	14	15	15	14	6	12
chromatin binding (GO:0003682)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
damaged DNA binding (GO:0003684)	0	0	2	0	0	0	0	0	0	0	1	0	4	0	3	3	1	3	0	3
DNA replication origin binding (GO:0003688)	0	0	0	0	0	0	1	0	0	0	4	1	3	0	1	4	4	4	0	4
single-stranded DNA binding (GO:0003697)	0	0	7	0	0	0	7	0	2	0	20	5	22	0	13	24	19	21	0	25
DNA-binding transcription factor activity (GO:0003700)	7	43	11	0	0	0	13	5	0	0	25	8	31	0	27	50	30	37	12	39
RNA binding (GO:0003723)	1	6	12	0	1	0	14	12	0	2	150	36	130	2	108	148	117	157	37	151
RNA helicase activity (GO:0003724)	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	1
double-stranded RNA binding (GO:0003725)	0	0	0	0	0	0	2	0	0	0	2	0	2	0	2	2	1	2	2	2
mRNA binding (GO:0003729)	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0
structural constituent of ribosome (GO:0003735)	0	33	25	0	0	0	77	13	0	0	319	75	284	4	204	331	233	328	90	316
translation initiation factor activity (GO:0003743)	0	0	0	0	0	0	0	0	0	0	16	0	14	0	7	16	9	16	8	16
translation elongation factor activity (GO:0003746)	0	0	0	0	0	0	7	0	0	0	13	3	13	0	12	15	13	18	0	15
translation release factor activity (GO:0003747)	0	0	0	0	0	0	2	0	0	0	4	2	4	0	4	4	2	4	2	4
peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	0	0	0	0	0	2	4	1	0	2	16	2	7	0	11	16	14	16	14	16
motor activity (GO:0003774)	0	10	0	0	0	0	0	9	0	0	44	8	37	0	33	47	47	48	15	48
actin binding (GO:0003779)	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
lysozyme activity (GO:0003796)	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
catalytic activity (GO:0003824)	9	56	79	3	6	0	68	80	3	16	264	86	257	9	268	307	249	249	89	253
1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841)	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1
1-pyrroline-5-carboxylate dehydrogenase activity (GO:0003842)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1
1,4-alpha-glucan branching enzyme activity (GO:0003844)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity (GO:0003848)	0	3	0	0	0	0	0	0	0	0	4	1	3	0	3	7	4	4	4	4
3-deoxy-7-phosphoheptulonate synthase activity (GO:0003849)	0	0	2	0	0	0	3	2	0	0	4	2	3	0	2	3	4	3	4	3
2-isopropylmalate synthase activity (GO:0003852)	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-beta-hydroxy-delta5-steroid dehydrogenase activity (GO:0003854)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-dehydroquinate dehydratase activity (GO:0003855)	0	0	8	0	0	0	0	7	0	0	9	5	8	0	9	8	9	9	0	9
3-dehydroquinate synthase activity (GO:0003856)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	2
3-hydroxyisobutyryl-CoA hydrolase activity (GO:0003860)	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3-isopropylmalate dehydrogenase activity (GO:0003862)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3-methyl-2-oxobutanoate hydroxymethyltransferase activity (GO:0003864)	0	2	0	2	0	0	0	0	0	0	5	3	6	0	5	6	6	6	0	6
3-phosphoshikimate 1-carboxyvinyltransferase activity (GO:0003866)	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	2	4	0	4
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity (GO:0003871)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
6-phosphofructokinase activity (GO:0003872)	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0
ATP phosphoribosyltransferase activity (GO:0003879)	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
CTP synthase activity (GO:0003883)	0	0	1	0	0	0	1	0	0	0	5	0	6	0	4	6	5	6	4	6
DNA-directed DNA polymerase activity (GO:0003887)	1	3	0	0	0	0	9	16	0	0	20	1	12	0	17	23	14	21	3	21
DNA primase activity (GO:0003896)	0	0	0	0	0	0	0	0	0	0	6	0	4	0	4	3	4	5	2	5
DNA-directed 5'-3' RNA polymerase activity (GO:0003899)	0	1	0	0	0	0	10	21	0	0	40	11	36	1	36	38	36	38	24	36
DNA-(apurinic or apyrimidinic site) endonuclease activity (GO:0003906)	0	0	4	0	0	0	0	0	0	0	2	0	3	0	3	0	2	2	0	2
methylated-DNA-[protein]-cysteine S-methyltransferase activity (GO:0003908)	0	0	2	0	0	0	2	0	0	0	2	0	3	0	3	3	3	4	0	3
DNA ligase (ATP) activity (GO:0003910)	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA ligase (NAD+) activity (GO:0003911)	0	0	0	0	0	0	2	0	0	0	4	0	7	0	2	7	6	7	3	7
DNA topoisomerase activity (GO:0003916)	0	0	4	0	0	0	7	3	2	2	26	1	28	0	16	27	22	31	6	35
DNA topoisomerase type I (single strand cut, ATP-independent) activity (GO:0003917)	0	0	1	0	0	0	2	1	0	1	5	1	8	0	3	8	10	5	1	7
DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity (GO:0003918)	0	3	0	0	0	0	3	7	0	0	22	8	27	0	26	27	25	26	9	34
FMN adenylyltransferase activity (GO:0003919)	0	0	0	0	0	0	1	0	0	2	4	0	1	0	1	2	1	5	0	4
GMP reductase activity (GO:0003920)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	5	3	0	3	0	3
GMP synthase (glutamine-hydrolyzing) activity (GO:0003922)	0	0	0	0	0	0	0	0	0	0	6	0	6	0	2	6	3	6	0	6
GTPase activity (GO:0003924)	6	7	8	0	0	0	12	8	0	0	58	30	54	0	45	60	48	66	8	61
GTP cyclohydrolase I activity (GO:0003934)	0	0	0	0	0	0	4	0	0	0	0	0	5	0	5	5	0	5	0	5
GTP cyclohydrolase II activity (GO:0003935)	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	2	3	0	3
IMP dehydrogenase activity (GO:0003938)	0	0	0	0	1	0	0	0	0	0	2	1	4	0	4	4	2	5	0	4
L-serine ammonia-lyase activity (GO:0003941)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	2	2	0	2
NAD+ kinase activity (GO:0003951)	0	2	0	0	0	0	0	4	0	0	4	0	3	0	5	4	4	4	2	4
NAD+ synthase (glutamine-hydrolyzing) activity (GO:0003952)	0	0	0	0	0	0	0	0	0	0	3	3	3	1	3	3	4	3	0	3
NADH dehydrogenase activity (GO:0003954)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NADPH dehydrogenase activity (GO:0003959)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA-directed 5'-3' RNA polymerase activity (GO:0003968)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UDP-N-acetylglucosamine diphosphorylase activity (GO:0003977)	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	3	0	3	0	3
UDP-glucose 4-epimerase activity (GO:0003978)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	2	2	2	0	2
UDP-glucose:glycoprotein glucosyltransferase activity (GO:0003980)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTP:glucose-1-phosphate uridylyltransferase activity (GO:0003983)	0	2	0	0	0	0	1	1	0	0	3	0	1	0	3	4	4	3	1	3
acetate-CoA ligase activity (GO:0003987)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	0	0
acetyl-CoA carboxylase activity (GO:0003989)	0	0	0	0	0	0	7	4	0	0	19	3	18	0	12	21	17	21	6	21
aconitate hydratase activity (GO:0003994)	0	0	0	0	0	0	0	1	0	0	6	3	6	0	3	7	7	8	4	7
acyl-CoA dehydrogenase activity (GO:0003995)	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0
adenine phosphoribosyltransferase activity (GO:0003999)	0	0	0	0	0	0	0	2	0	0	2	0	2	0	2	0	0	2	0	2
adenosylmethionine-8-amino-7-oxononanoate transaminase activity (GO:0004015)	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	2	0	1
N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity (GO:0004018)	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
adenylosuccinate synthase activity (GO:0004019)	0	0	0	0	0	0	0	4	0	0	6	8	9	0	10	10	6	10	4	6
adenylylsulfate kinase activity (GO:0004020)	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
amidase activity (GO:0004040)	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	1
aminoacyl-tRNA hydrolase activity (GO:0004045)	0	0	0	0	0	0	6	4	0	0	9	8	8	0	8	16	8	15	0	9
anthranilate phosphoribosyltransferase activity (GO:0004048)	0	0	0	1	0	0	1	1	0	0	3	2	3	0	4	2	3	3	0	3
anthranilate synthase activity (GO:0004049)	0	0	1	0	0	0	0	1	0	0	3	2	2	0	2	3	3	3	1	3
arginase activity (GO:0004053)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	2	0	1
argininosuccinate synthase activity (GO:0004055)	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
argininosuccinate lyase activity (GO:0004056)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
asparagine synthase (glutamine-hydrolyzing) activity (GO:0004066)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asparaginase activity (GO:0004067)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2	2	0	2
aspartate 1-decarboxylase activity (GO:0004068)	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	6	1	6	4	6
aspartate carbamoyltransferase activity (GO:0004070)	0	0	0	0	0	0	0	0	0	0	3	0	1	0	3	2	1	3	2	3
aspartate kinase activity (GO:0004072)	0	0	0	0	0	0	0	0	0	0	3	0	5	0	2	5	5	5	0	5
aspartate-semialdehyde dehydrogenase activity (GO:0004073)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	1	0	3	0	3
biotin synthase activity (GO:0004076)	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	2	1	3	1	3
biotin-[acetyl-CoA-carboxylase] ligase activity (GO:0004077)	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	2	1	2	0	2
branched-chain-amino-acid transaminase activity (GO:0004084)	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	3	0	1
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity (GO:0004088)	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	2	0	2
carbonate dehydratase activity (GO:0004089)	0	0	0	0	0	0	5	0	0	0	6	1	8	0	6	6	7	6	1	7
catalase activity (GO:0004096)	0	4	23	0	0	0	5	6	0	0	19	0	16	0	17	26	16	15	13	17
chorismate synthase activity (GO:0004107)	0	0	0	0	0	0	4	0	0	0	9	0	6	0	8	8	3	9	0	9
citrate (Si)-synthase activity (GO:0004108)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1
coproporphyrinogen oxidase activity (GO:0004109)	0	0	6	0	0	8	0	0	0	0	2	0	2	0	3	3	2	5	0	3
cystathionine beta-lyase activity (GO:0004121)	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-seryl-tRNASec selenium transferase activity (GO:0004125)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
cytochrome-c oxidase activity (GO:0004129)	0	8	8	3	0	0	7	4	0	0	6	4	6	0	6	6	6	6	0	6
4-alpha-glucanotransferase activity (GO:0004134)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
dephospho-CoA kinase activity (GO:0004140)	0	0	0	0	0	0	0	0	0	0	4	0	4	0	6	4	4	4	2	4
dethiobiotin synthase activity (GO:0004141)	0	0	0	0	0	0	0	0	0	0	3	0	2	0	3	3	2	2	0	3
diacylglycerol kinase activity (GO:0004143)	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	1	0	1
dihydroneopterin aldolase activity (GO:0004150)	0	1	0	0	0	0	4	0	0	0	2	0	4	0	3	4	3	3	0	4
dihydroorotase activity (GO:0004151)	0	0	0	0	0	0	0	1	0	0	5	0	1	0	1	4	2	5	0	2
dihydroorotate dehydrogenase activity (GO:0004152)	0	0	0	0	0	0	0	0	0	0	5	2	5	0	0	4	5	6	0	6
dihydropteroate synthase activity (GO:0004156)	0	0	1	0	0	0	1	0	0	0	3	1	2	0	2	3	2	3	0	3
dUTP diphosphatase activity (GO:0004170)	0	0	1	0	0	0	2	3	0	0	3	0	2	0	3	3	3	3	0	3
electron-transferring-flavoprotein dehydrogenase activity (GO:0004174)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP-dependent peptidase activity (GO:0004176)	0	1	3	0	0	0	4	3	0	0	23	6	26	0	18	22	15	22	3	22
serine-type carboxypeptidase activity (GO:0004185)	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aspartic-type endopeptidase activity (GO:0004190)	0	0	0	0	0	0	0	0	0	0	8	6	7	0	7	13	8	8	0	8
metalloendopeptidase activity (GO:0004222)	0	3	4	0	0	0	6	6	0	0	25	8	19	0	19	22	15	21	2	22
serine-type endopeptidase activity (GO:0004252)	0	4	6	0	0	0	8	0	0	0	22	13	29	0	22	24	17	25	10	23
threonine-type endopeptidase activity (GO:0004298)	0	3	0	0	0	0	0	1	0	0	2	0	2	0	2	3	3	3	0	3
[acyl-carrier-protein] S-malonyltransferase activity (GO:0004314)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1
3-oxoacyl-[acyl-carrier-protein] synthase activity (GO:0004315)	0	0	0	0	0	0	0	2	0	0	4	0	4	0	2	4	4	5	3	4
3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity (GO:0004316)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1
enoyl-[acyl-carrier-protein] reductase (NADH) activity (GO:0004318)	0	0	0	0	0	0	0	1	0	0	3	1	3	0	3	3	3	3	0	3
ferrochelatase activity (GO:0004325)	0	2	0	0	0	0	3	0	0	0	5	0	5	0	4	5	3	5	0	5
tetrahydrofolylpolyglutamate synthase activity (GO:0004326)	0	0	0	0	0	0	2	0	0	0	4	0	3	0	2	4	3	4	0	4
formamidase activity (GO:0004328)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1
fructose-bisphosphate aldolase activity (GO:0004332)	0	2	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1
fumarate hydratase activity (GO:0004333)	0	0	0	0	0	0	1	0	0	1	4	1	4	0	2	4	4	4	3	4
fumarylacetoacetase activity (GO:0004334)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glucokinase activity (GO:0004340)	0	0	0	0	0	0	0	1	0	0	3	0	2	0	2	3	2	3	2	3
glucosamine-6-phosphate deaminase activity (GO:0004342)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glucose-6-phosphate dehydrogenase activity (GO:0004345)	0	0	0	0	0	0	2	1	0	0	3	0	1	0	1	2	2	3	0	3
glucose-6-phosphate isomerase activity (GO:0004347)	0	0	0	0	0	0	8	3	0	0	13	6	13	0	14	13	13	13	14	13
glucosylceramidase activity (GO:0004348)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glutamate-ammonia ligase activity (GO:0004356)	0	1	0	0	0	0	0	0	0	0	6	1	6	0	2	9	6	6	0	6
glutamate-cysteine ligase activity (GO:0004357)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
glutamate N-acetyltransferase activity (GO:0004358)	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glutaminase activity (GO:0004359)	0	0	0	0	0	0	0	0	0	0	3	3	3	1	3	7	4	3	0	3
glutamine-fructose-6-phosphate transaminase (isomerizing) activity (GO:0004360)	0	0	0	0	0	0	2	0	0	0	2	1	3	0	2	3	2	3	1	3
glycerol-3-phosphate dehydrogenase [NAD+] activity (GO:0004367)	0	0	1	0	0	0	0	0	0	0	9	0	7	0	7	10	6	10	1	10
glycerone kinase activity (GO:0004371)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glycine hydroxymethyltransferase activity (GO:0004372)	0	0	0	0	0	0	0	2	0	0	4	0	4	0	3	4	4	4	0	4
glycogen (starch) synthase activity (GO:0004373)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glycine dehydrogenase (decarboxylating) activity (GO:0004375)	2	1	3	0	0	0	2	0	0	0	0	0	0	1	2	2	0	0	0	0
guanylate kinase activity (GO:0004385)	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	2	0	2
helicase activity (GO:0004386)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hexokinase activity (GO:0004396)	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
homoserine dehydrogenase activity (GO:0004412)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1
homoserine kinase activity (GO:0004413)	0	0	0	0	0	0	0	0	0	0	1	0	3	0	3	3	1	3	0	3
hydroxyethylthiazole kinase activity (GO:0004417)	0	0	0	0	0	0	3	0	0	0	11	0	11	0	11	11	9	11	9	11
hydroxymethylbilane synthase activity (GO:0004418)	0	7	0	0	0	0	0	0	0	0	14	0	11	0	14	12	11	14	1	14
hydroxymethylglutaryl-CoA synthase activity (GO:0004421)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
imidazoleglycerol-phosphate dehydratase activity (GO:0004424)	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3
indole-3-glycerol-phosphate synthase activity (GO:0004425)	0	0	0	0	0	0	0	1	0	0	5	0	5	0	2	5	3	5	0	5
inorganic diphosphatase activity (GO:0004427)	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	6	5	6	0	6
isocitrate dehydrogenase (NADP+) activity (GO:0004450)	0	0	0	0	0	0	2	0	0	0	3	0	2	0	2	6	3	2	0	2
isocitrate lyase activity (GO:0004451)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ketol-acid reductoisomerase activity (GO:0004455)	0	0	0	0	0	0	0	0	0	0	4	0	2	0	4	4	2	4	0	4
phosphogluconate dehydratase activity (GO:0004456)	0	1	1	0	0	0	2	1	0	0	2	0	3	0	2	2	3	3	3	2
lactoylglutathione lyase activity (GO:0004462)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
malic enzyme activity (GO:0004470)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
malate dehydrogenase (decarboxylating) (NAD+) activity (GO:0004471)	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mannose-6-phosphate isomerase activity (GO:0004476)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
methionine adenosyltransferase activity (GO:0004478)	0	9	3	0	0	0	3	6	0	0	11	6	12	0	6	17	11	12	8	20
methionyl-tRNA formyltransferase activity (GO:0004479)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	0	2	0	2
mRNA (guanine-N7-)-methyltransferase activity (GO:0004482)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methylenetetrahydrofolate dehydrogenase (NADP+) activity (GO:0004488)	0	0	0	0	0	0	0	0	0	0	11	0	11	0	11	11	7	11	0	11
methylmalonate-semialdehyde dehydrogenase (acylating) activity (GO:0004491)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
monooxygenase activity (GO:0004497)	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
nicotinate-nucleotide diphosphorylase (carboxylating) activity (GO:0004514)	0	0	0	0	0	0	0	3	0	0	4	3	4	0	4	4	4	4	0	4
nuclease activity (GO:0004518)	4	0	0	0	0	0	0	1	0	0	6	0	7	0	4	8	9	7	1	7
endonuclease activity (GO:0004519)	0	1	3	0	0	0	0	1	0	0	10	0	7	0	5	8	7	9	2	13
