#KO	X210222Fox_D21.2140	X210222Fox_D21.2141	X210222Fox_D21.2142	X210222Fox_D21.2143	X210222Fox_D21.2144	X210222Fox_D21.2145	X210222Fox_D21.2146	X210222Fox_D21.2147	X210713Fox_D21.6682	X210713Fox_D21.6683	X210713Fox_D21.6684	X210713Fox_D21.6685	X210713Fox_D21.6686	X210713Fox_D21.6687	X210713Fox_D21.6688	X210713Fox_D21.6689	X210713Fox_D21.6690	X210713Fox_D21.6691	X210713Fox_D21.6692	X210713Fox_D21.6693
09154 Digestive system	0	0	5	0	0	0	0	0	0	1	2	0	1	0	0	6	1	5	1	5
09155 Excretory system	0	0	2	0	0	0	0	0	0	1	2	0	0	0	2	2	0	4	0	4
09156 Nervous system	0	1	17	0	0	0	0	1	0	0	2	0	0	0	0	2	2	2	0	2
09157 Sensory system	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
09158 Development and regeneration	0	0	6	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1
09159 Environmental adaptation	0	3	14	0	0	0	0	1	0	0	7	0	3	0	3	6	1	5	0	5
09161 Cancer: overview	0	3	29	0	2	2	11	1	0	2	11	0	8	0	6	13	7	15	0	14
09162 Cancer: specific types	0	0	20	0	4	4	2	0	0	0	2	0	1	0	0	1	1	1	0	1
09163 Immune disease	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1
09164 Neurodegenerative disease	0	7	60	0	2	3	1	7	0	1	17	2	16	1	9	20	8	20	0	20
09165 Substance dependence	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
09166 Cardiovascular disease	0	3	15	0	0	1	3	2	0	1	11	0	6	0	4	10	5	9	0	10
09167 Endocrine and metabolic disease	0	2	15	0	1	1	2	1	0	0	5	0	4	0	2	6	1	6	0	5
09171 Infectious disease: bacterial	0	0	14	0	0	1	0	2	0	0	21	0	22	1	12	27	14	47	1	49
09172 Infectious disease: viral	0	0	21	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
09174 Infectious disease: parasitic	0	0	5	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1
09175 Drug resistance: antimicrobial	0	2	2	0	0	0	3	0	1	0	7	0	11	1	4	10	2	10	0	10
09176 Drug resistance: antineoplastic	0	0	4	0	0	0	2	0	0	0	1	0	2	0	0	2	1	3	0	3
09181 Protein families: metabolism	7	27	33	3	2	1	10	2	1	1	92	2	64	5	43	96	44	122	5	117
09182 Protein families: genetic information processing	12	37	79	7	4	4	25	9	2	12	246	16	198	5	117	269	128	333	13	303
09183 Protein families: signaling and cellular processes	1	57	39	7	8	2	33	7	2	2	170	10	143	14	79	197	103	265	12	266
09191 Unclassified: metabolism	4	10	13	0	1	1	4	2	2	1	23	1	23	1	6	27	7	29	5	32
09192 Unclassified: genetic information processing	2	6	0	0	0	0	11	2	0	1	15	1	12	0	10	19	8	20	7	19
09193 Unclassified: signaling and cellular processes	0	7	1	0	0	1	4	0	0	0	14	0	8	0	6	15	5	20	1	18
09194 Poorly characterized	2	9	4	2	1	0	3	0	1	0	22	1	19	2	8	20	11	34	2	29
