IPR	X210222Fox_D21.2140	X210222Fox_D21.2141	X210222Fox_D21.2142	X210222Fox_D21.2143	X210222Fox_D21.2144	X210222Fox_D21.2145	X210222Fox_D21.2146	X210222Fox_D21.2147	X210713Fox_D21.6682	X210713Fox_D21.6683	X210713Fox_D21.6684	X210713Fox_D21.6685	X210713Fox_D21.6686	X210713Fox_D21.6687	X210713Fox_D21.6688	X210713Fox_D21.6689	X210713Fox_D21.6690	X210713Fox_D21.6691	X210713Fox_D21.6692	X210713Fox_D21.6693
Ribonuclease P (IPR000100)	0	0	0	0	0	0	0	1	0	0	4	0	3	0	0	4	3	4	0	4
Gamma-glutamyltranspeptidase (IPR000101)	0	0	0	0	0	0	1	0	0	0	2	1	0	0	2	2	1	2	1	2
Ribosomal protein S1 (IPR000110)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1
Ribosomal protein L16 (IPR000114)	0	0	0	0	0	0	4	0	0	0	7	0	6	0	1	7	7	7	6	7
Phosphoribosylglycinamide synthetase (IPR000115)	0	0	0	1	0	0	0	0	0	0	3	1	2	0	1	3	1	3	1	3
Histone-like DNA-binding protein (IPR000119)	0	0	0	0	0	0	0	0	0	0	6	0	6	0	6	6	0	6	0	6
Amidase (IPR000120)	0	1	1	0	0	0	0	1	0	0	2	1	1	0	2	2	2	1	1	1
"PEP-utilising enzyme, C-terminal (IPR000121)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	2	1	0	1
"ATP synthase, F1 complex, gamma subunit (IPR000131)"	0	0	0	0	0	0	5	1	0	0	10	0	3	0	7	10	8	10	0	10
"Fructose-1,6-bisphosphatase class 1 (IPR000146)"	0	0	0	0	0	0	0	0	0	0	3	0	1	0	2	2	1	2	0	3
Cell division protein FtsZ (IPR000158)	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	3	3	3	0	3
GGDEF domain (IPR000160)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prohibitin (IPR000163)	0	0	0	0	0	0	0	0	0	0	7	0	7	0	7	7	7	7	2	7
"Glucose-methanol-choline oxidoreductase, N-terminal (IPR000172)"	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sodium:neurotransmitter symporter (IPR000175)	0	0	2	0	0	0	0	2	0	0	14	4	9	0	10	21	13	15	2	15
"Translation initiation factor IF-2, bacterial-like (IPR000178)"	0	0	0	0	0	0	0	0	0	0	3	0	3	0	2	3	1	3	1	3
GNAT domain (IPR000182)	0	0	4	0	0	0	2	2	0	0	2	0	4	0	8	2	2	3	2	2
Ornithine/DAP/Arg decarboxylase (IPR000183)	0	0	0	0	0	0	0	0	0	0	9	5	8	0	6	9	8	9	0	9
Bacterial surface antigen (D15) (IPR000184)	0	1	0	0	0	1	0	1	0	0	1	1	1	0	2	1	2	1	1	1
Protein translocase subunit SecA (IPR000185)	0	0	0	1	0	0	1	5	0	0	9	0	10	0	9	11	4	10	7	9
Aminotransferase class V domain (IPR000192)	0	0	2	0	0	0	2	1	0	0	2	2	3	1	3	5	3	3	1	3
"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain (IPR000194)"	0	1	0	0	0	0	1	3	0	0	4	1	6	1	6	5	4	4	1	4
Ribosomal protein L7/L12 (IPR000206)	0	0	0	0	0	0	0	0	0	0	4	0	4	0	3	4	3	4	0	4
Peptidase S8/S53 domain (IPR000209)	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0
"DNA helicase, UvrD/REP type (IPR000212)"	0	0	2	0	0	1	2	2	1	2	3	1	7	1	7	5	7	4	5	3
"Zinc finger, DNA glycosylase/AP lyase-type (IPR000214)"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribosomal protein L14P (IPR000218)	0	0	0	0	0	0	4	0	0	0	4	3	4	0	4	4	4	4	4	4
"Peptidase S26A, signal peptidase I (IPR000223)"	0	0	0	0	0	0	2	0	0	0	4	4	0	0	4	5	3	5	0	5
Ribosomal protein S5/S7 (IPR000235)	0	0	0	0	0	0	2	2	0	0	4	2	2	2	2	1	2	2	0	2
Ribosome-binding factor A (IPR000238)	0	0	0	0	0	0	2	0	0	0	3	0	1	0	3	3	0	3	0	3
Ribosomal protein L9 (IPR000244)	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	1
V-ATPase proteolipid subunit (IPR000245)	2	0	2	0	0	2	4	0	0	2	0	2	0	2	2	0	0	0	0	0
Uroporphyrinogen decarboxylase (URO-D) (IPR000257)	0	1	0	0	0	0	0	0	0	0	3	0	5	0	3	3	2	3	1	5
FMN-dependent dehydrogenase (IPR000262)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribosomal protein S17/S11 (IPR000266)	0	0	0	0	0	0	5	0	0	0	5	5	2	0	5	5	1	5	0	5
Ribosomal protein L34 (IPR000271)	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0
"G protein-coupled receptor, rhodopsin-like (IPR000276)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
"Cys/Met metabolism, pyridoxal phosphate-dependent enzyme (IPR000277)"	0	3	4	0	0	0	1	5	0	2	5	2	8	3	5	4	6	5	0	5
Helix-turn-helix protein RpiR (IPR000281)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"D-alanine--D-alanine ligase/VANA/B/C, conserved site (IPR000291)"	0	0	0	0	0	0	2	1	0	0	1	0	2	0	1	1	1	2	1	2
Formate/nitrite transporter (IPR000292)	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peptidyl-prolyl cis-trans isomerase, PpiC-type (IPR000297)"	0	0	0	0	0	0	2	0	0	0	3	0	3	0	2	3	1	3	2	3
Cytochrome c oxidase subunit III-like (IPR000298)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrroline-5-carboxylate reductase (IPR000304)	0	0	0	0	0	0	0	0	0	0	5	0	1	0	2	5	5	5	0	5
GIY-YIG endonuclease (IPR000305)	0	0	0	0	0	0	2	0	0	0	3	0	1	0	0	3	1	3	0	3
Ribosomal protein S16 (IPR000307)	0	3	0	0	0	0	0	0	0	0	4	4	3	0	0	4	4	4	0	4
"Glycosyl transferase, family 3 (IPR000312)"	0	0	0	1	0	0	1	1	0	0	1	2	1	0	1	2	2	1	0	1
"Aspartate-semialdehyde dehydrogenase, conserved site (IPR000319)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1
Glycoside hydrolase family 31 (IPR000322)	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Phosphatidic acid phosphatase type 2/haloperoxidase (IPR000326)	0	0	0	0	0	0	1	0	0	0	4	2	5	0	3	3	3	4	0	3
"SNF2, N-terminal (IPR000330)"	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1
"Dual specificity phosphatase, catalytic domain (IPR000340)"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutamyl-tRNA reductase (IPR000343)	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	3	3	3	0	3
Peptide chain release factor class I (IPR000352)	0	0	0	0	0	0	2	0	0	0	4	2	4	0	4	4	2	4	2	4
Ribonucleotide reductase small subunit family (IPR000358)	0	2	0	0	0	0	4	0	0	0	3	2	5	0	4	3	4	3	0	3
Fumarate lyase family (IPR000362)	0	0	0	0	0	0	4	2	0	0	12	0	12	0	11	12	10	12	2	12
"GPCR fungal pheromone mating factor, STE2 (IPR000366)"	30	0	35	12	11	11	8	16	8	4	0	23	15	14	8	4	8	25	4	20
Phosphatidate cytidylyltransferase (IPR000374)	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1
"DNA topoisomerase, type IA (IPR000380)"	0	0	1	0	0	0	2	1	0	1	3	1	6	0	3	6	9	3	1	5
"MoaA/NifB/PqqE, iron-sulphur binding, conserved site (IPR000385)"	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
Tyrosine-specific protein phosphatases domain (IPR000387)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA polymerase sigma factor 54 (IPR000394)	0	0	0	0	0	0	1	4	0	0	8	0	2	0	4	2	1	11	2	8
Heat shock protein Hsp33 (IPR000397)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"TPP-binding enzyme, conserved site (IPR000399)"	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
ABC-2 transporter (IPR000412)	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Nitroreductase-like (IPR000415)	0	0	2	0	0	0	1	2	0	2	6	0	4	0	2	6	2	6	0	8
Hydroxyethylthiazole kinase (IPR000417)	0	0	0	0	0	0	3	0	0	0	11	0	11	0	11	11	9	11	9	11
"3,4-dihydroxy-2-butanone 4-phosphate synthase, RibB (IPR000422)"	0	0	0	1	0	0	0	0	0	0	3	0	4	0	2	1	2	3	0	3
Primosome PriB/single-strand DNA-binding (IPR000424)	0	0	3	0	0	0	3	0	0	0	3	0	3	0	3	6	3	3	0	3
Copper ion binding protein (IPR000428)	0	0	0	0	0	0	3	0	0	0	5	0	5	0	5	5	0	5	0	5
"DNA mismatch repair protein MutS, C-terminal (IPR000432)"	0	0	2	0	0	0	0	1	0	0	2	0	2	0	2	2	2	2	0	2
"Acetyl-CoA carboxylase carboxyl transferase, beta subunit (IPR000438)"	0	0	0	0	0	0	0	0	0	0	5	3	7	0	3	7	7	7	4	7
"NADH:ubiquinone/plastoquinone oxidoreductase, chain 3 (IPR000440)"	0	0	2	0	0	0	2	0	0	0	2	0	3	0	2	2	2	2	0	2
Helix-hairpin-helix motif (IPR000445)	0	0	0	1	0	0	0	0	0	0	3	1	3	0	3	3	3	3	0	3
Chorismate synthase (IPR000453)	0	0	0	0	0	0	3	0	0	0	6	0	4	0	5	5	2	6	0	6
"ATP synthase, F0 complex, subunit C (IPR000454)"	0	0	5	0	0	0	0	0	0	0	2	0	0	0	4	4	4	4	0	4
Ribosomal protein L17 (IPR000456)	0	0	0	0	0	0	0	4	0	0	5	0	5	0	3	7	2	5	0	5
CDP-alcohol phosphatidyltransferase (IPR000462)	0	2	0	0	0	0	0	0	0	0	4	2	4	0	2	4	2	4	0	4
Ribosomal protein L36 (IPR000473)	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	5	0	5
Reverse transcriptase domain (IPR000477)	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0
Pterin-binding domain (IPR000489)	0	0	2	0	0	0	2	4	0	0	2	2	2	0	4	2	2	2	0	2
RNA recognition motif domain (IPR000504)	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	3	0	3
"Ketol-acid reductoisomerase, C-terminal (IPR000506)"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	2	2	0	2
"ABC transporter type 1, transmembrane domain MetI-like (IPR000515)"	24	20	28	27	26	27	26	30	12	8	41	34	50	16	45	54	48	46	19	50
Nickel-dependent hydrogenase b-type cytochrome subunit (IPR000516)	0	0	0	0	0	0	0	2	0	0	6	3	6	0	6	7	6	9	0	6
"Metallothionein, family 14, prokaryote (IPR000518)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"ABC transporter, permease protein, BtuC-like (IPR000522)"	0	0	2	0	0	2	0	2	0	0	2	2	4	0	2	4	2	4	2	2
"Magnesium chelatase ChlI-like, catalytic domain (IPR000523)"	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	1	1	2	0	1
"Transcription regulator HTH, GntR (IPR000524)"	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Initiator Rep protein (IPR000525)	0	0	0	0	0	0	9	0	0	0	1	0	0	0	1	0	2	1	1	1
Flagellar L-ring protein (IPR000527)	0	0	0	0	0	0	0	1	0	0	7	0	2	0	5	6	7	7	0	7
Ribosomal protein S6 (IPR000529)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	3	5	3	3	0	3
"TonB-dependent receptor-like, beta-barrel (IPR000531)"	0	3	4	1	0	0	3	3	0	0	6	4	7	0	6	7	9	5	3	5
"Semialdehyde dehydrogenase, NAD-binding (IPR000534)"	0	0	0	0	0	0	0	2	0	0	2	2	2	0	0	2	1	2	0	2
UbiA prenyltransferase family (IPR000537)	0	1	0	0	0	0	1	0	0	0	1	0	1	0	2	1	2	1	0	1
"Flagellar motor protein MotA, conserved site (IPR000540)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1
Octanoyltransferase (IPR000544)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK (IPR000550)"	0	3	0	0	0	0	0	0	0	0	4	1	3	0	3	7	4	4	4	4
MerR-type HTH domain (IPR000551)	3	9	0	0	0	0	2	0	0	0	4	4	3	0	3	8	0	8	1	6
"DNA topoisomerase, type IIA, subunit B (IPR000565)"	0	0	0	0	0	0	0	0	0	0	7	0	6	0	9	10	9	10	0	12
"ATP synthase, F0 complex, subunit A (IPR000568)"	0	4	6	0	0	0	0	0	0	0	5	0	1	0	4	5	1	7	0	7
HECT domain (IPR000569)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oxidoreductase, molybdopterin-binding domain (IPR000572)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"Aconitase A/isopropylmalate dehydratase small subunit, swivel domain (IPR000573)"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Dihydroxy-acid/6-phosphogluconate dehydratase (IPR000581)	0	1	3	0	0	0	3	1	0	0	1	1	1	1	1	3	2	1	3	1
"Creatinase, N-terminal (IPR000587)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0
Ribosomal protein S15 (IPR000589)	0	0	4	0	0	0	0	1	0	0	3	0	0	0	4	4	2	4	0	4
THIF-type NAD/FAD binding fold (IPR000594)	0	0	0	0	0	0	1	1	0	0	2	0	1	0	1	2	2	2	0	2
Cyclic nucleotide-binding domain (IPR000595)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3
Ribosomal protein L3 (IPR000597)	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	2	1	0	1
ROK family (IPR000600)	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0
EamA domain (IPR000620)	0	1	0	0	0	0	2	0	0	0	2	1	2	0	1	2	0	2	1	2
Shikimate kinase/Threonine synthase-like 1 (IPR000623)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	2	2	0	2
"ATP-dependent RNA helicase DEAD-box, conserved site (IPR000629)"	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribosomal protein S8 (IPR000630)	0	0	2	0	0	0	0	0	0	0	4	0	4	0	4	8	4	4	0	4
ATP/ADP-dependent (S)-NAD(P)H-hydrate dehydratase (IPR000631)	0	0	3	0	0	0	1	2	0	0	4	3	4	0	3	8	5	7	0	4
"Serine/threonine dehydratase, pyridoxal-phosphate-binding site (IPR000634)"	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	1	1
"Elongation factor EFG, domain V-like (IPR000640)"	0	0	0	0	0	0	0	0	0	0	5	3	4	1	4	4	4	4	3	4
CbxX/CfxQ (IPR000641)	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0
Peptidase M41 (IPR000642)	0	0	0	0	0	0	1	1	0	0	2	0	1	0	1	1	1	1	0	1
CBS domain (IPR000644)	0	0	0	0	0	0	0	2	0	0	16	0	16	0	12	20	13	16	0	16
Triosephosphate isomerase (IPR000652)	0	0	6	0	0	0	0	0	0	0	7	0	3	0	8	4	6	4	2	4
DegT/DnrJ/EryC1/StrS aminotransferase (IPR000653)	0	0	4	0	0	0	0	2	0	0	4	3	4	0	4	5	4	4	2	4
"Peptidase S13, D-Ala-D-Ala carboxypeptidase C (IPR000667)"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptidase A31 family (IPR000671)	0	0	0	0	0	0	0	7	0	0	5	0	8	0	8	8	8	11	8	8
Tetrahydrofolate dehydrogenase/cyclohydrolase (IPR000672)	0	0	0	0	0	0	0	0	0	0	8	0	8	0	8	8	5	8	0	8
Protein-L-isoaspartate(D-aspartate) O-methyltransferase (IPR000682)	0	0	0	0	0	0	3	0	0	0	4	0	4	0	0	4	3	4	3	4
"Gfo/Idh/MocA-like oxidoreductase, N-terminal (IPR000683)"	0	0	2	0	0	0	0	0	0	0	2	0	1	1	1	1	1	1	1	1
"Ribulose bisphosphate carboxylase, large subunit, C-terminal (IPR000685)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenase maturation factor HypA/HybF (IPR000688)	0	0	4	0	0	0	0	0	0	0	5	0	5	0	5	5	4	5	0	6
"PAS-associated, C-terminal (IPR000700)"	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Succinate dehydrogenase/fumarate reductase type B, transmembrane subunit (IPR000701)"	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1
Ribosomal protein L6 (IPR000702)	0	0	2	0	0	0	1	0	0	0	2	0	2	0	2	3	2	2	2	2
"ATPase, OSCP/delta subunit (IPR000711)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
"Mur ligase, N-terminal catalytic domain (IPR000713)"	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	2	1	1
"Glycosyl transferase, family 4 (IPR000715)"	0	2	0	2	0	0	2	3	0	0	5	1	4	2	5	6	4	4	0	4
Proteasome component (PCI) domain (IPR000717)	1	1	2	2	1	2	2	0	1	0	0	0	0	1	0	0	0	0	1	0
Protein kinase domain (IPR000719)	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0
"RNA polymerase, alpha subunit (IPR000722)"	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	2	0	1
Target SNARE coiled-coil homology domain (IPR000727)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sterol-sensing domain (IPR000731)	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1
GrpE nucleotide exchange factor (IPR000740)	0	0	0	0	0	0	0	0	0	0	9	0	6	0	6	9	6	9	4	9
"Pseudouridine synthase, RsuA/RluB/E/F (IPR000748)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
Ribosomal protein S9 (IPR000754)	0	2	0	0	0	0	0	2	0	0	2	0	2	0	2	2	2	2	0	2
Inositol monophosphatase-like (IPR000760)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0
Catalase-peroxidase haem (IPR000763)	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fructose-bisphosphate aldolase, class-II (IPR000771)"	0	3	0	0	0	0	0	2	0	0	6	6	6	0	6	6	6	6	0	6
"MCP methyltransferase, CheR-type (IPR000780)"	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ribonucleotide reductase large subunit, C-terminal (IPR000788)"	0	0	0	0	0	0	0	1	4	0	8	1	10	4	2	9	8	8	6	8
"Transcription regulator LuxR, C-terminal (IPR000792)"	0	7	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0
"ATP synthase, alpha subunit, C-terminal (IPR000793)"	0	0	0	0	0	0	0	2	0	0	2	1	2	0	0	4	2	2	0	2
Beta-ketoacyl synthase (IPR000794)	0	0	0	0	1	0	0	0	0	0	2	1	2	0	2	3	4	3	1	3
Translational (tr)-type GTP-binding domain (IPR000795)	6	6	4	0	0	0	7	2	0	0	29	19	29	0	22	31	22	35	5	30
Imidazoleglycerol-phosphate dehydratase (IPR000807)	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
"Mrp, conserved site (IPR000808)"	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
"Glycosyl transferase, family 35 (IPR000811)"	0	0	4	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0
"Peptidase C15, pyroglutamyl peptidase I (IPR000816)"	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peptidase M17, leucyl aminopeptidase, C-terminal (IPR000819)"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	3	2	2	2
Alanine racemase (IPR000821)	0	0	0	0	0	0	0	0	0	0	11	0	11	0	7	11	10	11	0	11
"SUF system FeS cluster assembly, SufBD (IPR000825)"	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
DAGK family (IPR000829)	0	0	0	0	0	0	3	0	0	0	2	0	3	0	3	3	1	3	0	3
MarR-type HTH domain (IPR000835)	0	3	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
Phosphoribosyltransferase domain (IPR000836)	0	0	0	2	0	0	4	4	0	0	8	1	7	0	8	8	4	10	2	9
"RNA polymerase sigma factor 70, ECF, conserved site (IPR000838)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Phosphoribosyl pyrophosphate synthetase, conserved site (IPR000842)"	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1
LacI-type HTH domain (IPR000843)	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4
Nucleoside phosphorylase domain (IPR000845)	1	0	1	0	0	0	0	0	0	0	2	1	3	0	1	4	3	3	1	3
"Dihydrodipicolinate reductase, N-terminal (IPR000846)"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	1	0	1
"Transcription regulator HTH, LysR (IPR000847)"	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adenylate kinase/UMP-CMP kinase (IPR000850)	0	0	0	0	0	0	0	0	0	0	7	7	7	0	4	7	5	7	0	7
Ribosomal protein S5 (IPR000851)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	2	2	1
Porphobilinogen deaminase (IPR000860)	0	6	0	0	0	0	0	0	0	0	9	0	6	0	8	7	5	9	0	9
Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant (IPR000866)	0	0	0	0	0	0	0	0	0	0	2	1	2	0	1	2	2	2	1	2
Isochorismatase-like (IPR000868)	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Homoserine kinase (IPR000870)	0	0	0	0	0	0	0	0	0	0	1	0	3	0	3	3	1	3	0	3
AMP-dependent synthetase/ligase domain (IPR000873)	2	5	7	0	0	0	1	0	0	0	1	2	1	0	2	0	2	2	2	0
Tetrapyrrole methylase (IPR000878)	1	0	1	0	0	0	0	0	0	0	1	0	2	0	1	1	1	1	1	1
Cytochrome c oxidase subunit I (IPR000883)	0	7	2	2	0	0	4	2	0	0	2	2	2	0	2	2	2	2	0	2
KDPG/KHG aldolase (IPR000887)	0	0	0	0	0	0	0	0	0	0	4	0	4	0	4	4	4	4	4	4
"Aliphatic acid kinase, short-chain (IPR000890)"	0	0	2	0	0	0	0	4	0	0	11	8	9	0	7	9	9	9	2	8
Pyruvate carboxyltransferase (IPR000891)	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0
"Signal recognition particle, SRP54 subunit, GTPase domain (IPR000897)"	0	2	2	0	0	0	2	0	0	0	11	0	8	0	8	8	9	8	2	8
Gcp-like domain (IPR000905)	0	0	0	0	0	0	0	0	0	0	2	0	4	0	4	2	3	4	2	2
Ribosomal protein L11/L12 (IPR000911)	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	4	0	4	2	4
Solute-binding protein family 5 domain (IPR000914)	0	2	0	0	0	0	0	1	0	0	2	2	2	1	4	5	3	2	3	2
"Sulfatase, N-terminal (IPR000917)"	0	1	3	0	0	0	0	0	0	0	6	0	5	0	3	5	3	2	2	7
Glutamyl/glutaminyl-tRNA synthetase (IPR000924)	0	0	6	0	0	0	3	0	0	0	5	3	5	0	5	10	0	10	0	10
"GTP cyclohydrolase II, RibA (IPR000926)"	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	2	3	0	3
"Glycoside hydrolase, family 29 (IPR000933)"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Enolase (IPR000941)	0	0	0	0	0	0	1	0	0	0	12	3	5	0	8	16	4	12	4	12
RNA polymerase sigma-70 (IPR000943)	3	5	0	0	0	0	3	0	0	0	11	0	11	0	11	12	14	13	3	15
Transcription regulator Rrf2 (IPR000944)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Peptidase M24 (IPR000994)	1	0	0	0	0	0	2	0	0	0	3	1	2	1	1	2	3	2	2	2
