IPR	X210222Fox_D21.2140	X210222Fox_D21.2141	X210222Fox_D21.2142	X210222Fox_D21.2143	X210222Fox_D21.2144	X210222Fox_D21.2145	X210222Fox_D21.2146	X210222Fox_D21.2147	X210713Fox_D21.6682	X210713Fox_D21.6683	X210713Fox_D21.6684	X210713Fox_D21.6685	X210713Fox_D21.6686	X210713Fox_D21.6687	X210713Fox_D21.6688	X210713Fox_D21.6689	X210713Fox_D21.6690	X210713Fox_D21.6691	X210713Fox_D21.6692	X210713Fox_D21.6693	ENTRY_AC	ENTRY_TYPE	ENTRY_NAME
IPR000090	0	0	0	0	0	0	0	4	0	0	8	0	7	0	4	10	10	10	4	10	IPR000090	Family	Flagellar motor switch protein FliG
IPR000092	0	0	0	0	0	0	1	2	0	0	4	1	3	0	5	4	2	4	0	4	IPR000092	Family	Polyprenyl synthetase
IPR000093	0	0	0	0	0	0	0	0	0	0	3	1	3	0	1	3	2	3	0	3	IPR000093	Family	DNA recombination protein RecR
IPR000100	0	0	0	0	0	0	0	1	0	0	4	0	3	0	0	4	3	4	0	4	IPR000100	Family	Ribonuclease P
IPR000101	0	0	0	0	0	0	1	0	0	0	2	1	0	0	2	2	1	2	1	2	IPR000101	Family	Gamma-glutamyltranspeptidase
IPR000110	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	IPR000110	Family	Ribosomal protein S1
IPR000114	0	0	0	0	0	0	4	0	0	0	7	0	6	0	1	7	7	7	6	7	IPR000114	Family	Ribosomal protein L16
IPR000115	0	0	0	1	0	0	0	0	0	0	3	1	2	0	1	3	1	3	1	3	IPR000115	Family	Phosphoribosylglycinamide synthetase
IPR000119	0	0	0	0	0	0	0	0	0	0	6	0	6	0	6	6	0	6	0	6	IPR000119	Family	Histone-like DNA-binding protein
IPR000120	0	1	1	0	0	0	0	1	0	0	2	1	1	0	2	2	2	1	1	1	IPR000120	Family	Amidase
IPR000121	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	2	1	0	1	IPR000121	Domain	PEP-utilising enzyme, C-terminal
IPR000131	0	0	0	0	0	0	5	1	0	0	10	0	3	0	7	10	8	10	0	10	IPR000131	Family	ATP synthase, F1 complex, gamma subunit
IPR000146	0	0	0	0	0	0	0	0	0	0	3	0	1	0	2	2	1	2	0	3	IPR000146	Family	Fructose-1,6-bisphosphatase class 1
IPR000158	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	3	3	3	0	3	IPR000158	Family	Cell division protein FtsZ
IPR000160	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000160	Domain	GGDEF domain
IPR000163	0	0	0	0	0	0	0	0	0	0	7	0	7	0	7	7	7	7	2	7	IPR000163	Family	Prohibitin
IPR000172	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000172	Domain	Glucose-methanol-choline oxidoreductase, N-terminal
IPR000175	0	0	2	0	0	0	0	2	0	0	14	4	9	0	10	21	13	15	2	15	IPR000175	Family	Sodium:neurotransmitter symporter
IPR000178	0	0	0	0	0	0	0	0	0	0	3	0	3	0	2	3	1	3	1	3	IPR000178	Family	Translation initiation factor IF-2, bacterial-like
IPR000182	0	0	4	0	0	0	2	2	0	0	2	0	4	0	8	2	2	3	2	2	IPR000182	Domain	GNAT domain
IPR000183	0	0	0	0	0	0	0	0	0	0	9	5	8	0	6	9	8	9	0	9	IPR000183	Family	Ornithine/DAP/Arg decarboxylase
IPR000184	0	1	0	0	0	1	0	1	0	0	1	1	1	0	2	1	2	1	1	1	IPR000184	Domain	Bacterial surface antigen (D15)
IPR000185	0	0	0	1	0	0	1	5	0	0	9	0	10	0	9	11	4	10	7	9	IPR000185	Family	Protein translocase subunit SecA
IPR000192	0	0	2	0	0	0	2	1	0	0	2	2	3	1	3	5	3	3	1	3	IPR000192	Domain	Aminotransferase class V domain
IPR000194	0	1	0	0	0	0	1	3	0	0	4	1	6	1	6	5	4	4	1	4	IPR000194	Domain	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain
IPR000206	0	0	0	0	0	0	0	0	0	0	4	0	4	0	3	4	3	4	0	4	IPR000206	Family	Ribosomal protein L7/L12
IPR000209	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	IPR000209	Domain	Peptidase S8/S53 domain
IPR000212	0	0	2	0	0	1	2	2	1	2	3	1	7	1	7	5	7	4	5	3	IPR000212	Family	DNA helicase, UvrD/REP type
IPR000214	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000214	Domain	Zinc finger, DNA glycosylase/AP lyase-type
IPR000218	0	0	0	0	0	0	4	0	0	0	4	3	4	0	4	4	4	4	4	4	IPR000218	Family	Ribosomal protein L14P
IPR000223	0	0	0	0	0	0	2	0	0	0	4	4	0	0	4	5	3	5	0	5	IPR000223	Family	Peptidase S26A, signal peptidase I
IPR000235	0	0	0	0	0	0	2	2	0	0	4	2	2	2	2	1	2	2	0	2	IPR000235	Family	Ribosomal protein S5/S7
IPR000238	0	0	0	0	0	0	2	0	0	0	3	0	1	0	3	3	0	3	0	3	IPR000238	Family	Ribosome-binding factor A
IPR000244	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	1	IPR000244	Family	Ribosomal protein L9
IPR000245	2	0	2	0	0	2	4	0	0	2	0	2	0	2	2	0	0	0	0	0	IPR000245	Family	V-ATPase proteolipid subunit
IPR000257	0	1	0	0	0	0	0	0	0	0	3	0	5	0	3	3	2	3	1	5	IPR000257	Domain	Uroporphyrinogen decarboxylase (URO-D)
IPR000262	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000262	Domain	FMN-dependent dehydrogenase
IPR000266	0	0	0	0	0	0	5	0	0	0	5	5	2	0	5	5	1	5	0	5	IPR000266	Family	Ribosomal protein S17/S11
IPR000271	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	IPR000271	Family	Ribosomal protein L34
IPR000276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	IPR000276	Family	G protein-coupled receptor, rhodopsin-like
IPR000277	0	3	4	0	0	0	1	5	0	2	5	2	8	3	5	4	6	5	0	5	IPR000277	Family	Cys/Met metabolism, pyridoxal phosphate-dependent enzyme
IPR000281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	IPR000281	Domain	Helix-turn-helix protein RpiR
IPR000291	0	0	0	0	0	0	2	1	0	0	1	0	2	0	1	1	1	2	1	2	IPR000291	Conserved_site	D-alanine--D-alanine ligase/VANA/B/C, conserved site
IPR000292	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000292	Family	Formate/nitrite transporter
IPR000297	0	0	0	0	0	0	2	0	0	0	3	0	3	0	2	3	1	3	2	3	IPR000297	Domain	Peptidyl-prolyl cis-trans isomerase, PpiC-type
IPR000298	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000298	Domain	Cytochrome c oxidase subunit III-like
IPR000304	0	0	0	0	0	0	0	0	0	0	5	0	1	0	2	5	5	5	0	5	IPR000304	Family	Pyrroline-5-carboxylate reductase
IPR000305	0	0	0	0	0	0	2	0	0	0	3	0	1	0	0	3	1	3	0	3	IPR000305	Domain	GIY-YIG endonuclease
IPR000307	0	3	0	0	0	0	0	0	0	0	4	4	3	0	0	4	4	4	0	4	IPR000307	Family	Ribosomal protein S16
IPR000312	0	0	0	1	0	0	1	1	0	0	1	2	1	0	1	2	2	1	0	1	IPR000312	Domain	Glycosyl transferase, family 3
IPR000319	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	IPR000319	Conserved_site	Aspartate-semialdehyde dehydrogenase, conserved site
IPR000322	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	IPR000322	Family	Glycoside hydrolase family 31
IPR000326	0	0	0	0	0	0	1	0	0	0	4	2	5	0	3	3	3	4	0	3	IPR000326	Domain	Phosphatidic acid phosphatase type 2/haloperoxidase
IPR000330	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	IPR000330	Domain	SNF2, N-terminal
IPR000340	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000340	Domain	Dual specificity phosphatase, catalytic domain
IPR000343	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	3	3	3	0	3	IPR000343	Family	Glutamyl-tRNA reductase
IPR000352	0	0	0	0	0	0	2	0	0	0	4	2	4	0	4	4	2	4	2	4	IPR000352	Domain	Peptide chain release factor class I
IPR000358	0	2	0	0	0	0	4	0	0	0	3	2	5	0	4	3	4	3	0	3	IPR000358	Family	Ribonucleotide reductase small subunit family
IPR000362	0	0	0	0	0	0	4	2	0	0	12	0	12	0	11	12	10	12	2	12	IPR000362	Family	Fumarate lyase family
IPR000366	30	0	35	12	11	11	8	16	8	4	0	23	15	14	8	4	8	25	4	20	IPR000366	Family	GPCR fungal pheromone mating factor, STE2
IPR000374	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	IPR000374	Family	Phosphatidate cytidylyltransferase
IPR000380	0	0	1	0	0	0	2	1	0	1	3	1	6	0	3	6	9	3	1	5	IPR000380	Family	DNA topoisomerase, type IA
IPR000385	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	IPR000385	Conserved_site	MoaA/NifB/PqqE, iron-sulphur binding, conserved site
IPR000387	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000387	Domain	Tyrosine-specific protein phosphatases domain
IPR000394	0	0	0	0	0	0	1	4	0	0	8	0	2	0	4	2	1	11	2	8	IPR000394	Family	RNA polymerase sigma factor 54
IPR000397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	IPR000397	Family	Heat shock protein Hsp33
IPR000399	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	IPR000399	Conserved_site	TPP-binding enzyme, conserved site
IPR000412	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	IPR000412	Family	ABC-2 transporter
IPR000415	0	0	2	0	0	0	1	2	0	2	6	0	4	0	2	6	2	6	0	8	IPR000415	Homologous_superfamily	Nitroreductase-like
IPR000417	0	0	0	0	0	0	3	0	0	0	11	0	11	0	11	11	9	11	9	11	IPR000417	Family	Hydroxyethylthiazole kinase
IPR000422	0	0	0	1	0	0	0	0	0	0	3	0	4	0	2	1	2	3	0	3	IPR000422	Family	3,4-dihydroxy-2-butanone 4-phosphate synthase, RibB
IPR000424	0	0	3	0	0	0	3	0	0	0	3	0	3	0	3	6	3	3	0	3	IPR000424	Family	Primosome PriB/single-strand DNA-binding
IPR000428	0	0	0	0	0	0	3	0	0	0	5	0	5	0	5	5	0	5	0	5	IPR000428	Family	Copper ion binding protein
IPR000432	0	0	2	0	0	0	0	1	0	0	2	0	2	0	2	2	2	2	0	2	IPR000432	Domain	DNA mismatch repair protein MutS, C-terminal
IPR000438	0	0	0	0	0	0	0	0	0	0	5	3	7	0	3	7	7	7	4	7	IPR000438	Family	Acetyl-CoA carboxylase carboxyl transferase, beta subunit
IPR000440	0	0	2	0	0	0	2	0	0	0	2	0	3	0	2	2	2	2	0	2	IPR000440	Family	NADH:ubiquinone/plastoquinone oxidoreductase, chain 3
IPR000445	0	0	0	1	0	0	0	0	0	0	3	1	3	0	3	3	3	3	0	3	IPR000445	Conserved_site	Helix-hairpin-helix motif
IPR000453	0	0	0	0	0	0	3	0	0	0	6	0	4	0	5	5	2	6	0	6	IPR000453	Family	Chorismate synthase
IPR000454	0	0	5	0	0	0	0	0	0	0	2	0	0	0	4	4	4	4	0	4	IPR000454	Family	ATP synthase, F0 complex, subunit C
IPR000456	0	0	0	0	0	0	0	4	0	0	5	0	5	0	3	7	2	5	0	5	IPR000456	Family	Ribosomal protein L17
IPR000462	0	2	0	0	0	0	0	0	0	0	4	2	4	0	2	4	2	4	0	4	IPR000462	Family	CDP-alcohol phosphatidyltransferase
IPR000473	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	5	0	5	IPR000473	Family	Ribosomal protein L36
IPR000477	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	IPR000477	Domain	Reverse transcriptase domain
IPR000489	0	0	2	0	0	0	2	4	0	0	2	2	2	0	4	2	2	2	0	2	IPR000489	Domain	Pterin-binding domain
IPR000504	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	3	0	3	IPR000504	Domain	RNA recognition motif domain
IPR000506	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	2	2	0	2	IPR000506	Domain	Ketol-acid reductoisomerase, C-terminal
IPR000515	24	20	28	27	26	27	26	30	12	8	41	34	50	16	45	54	48	46	19	50	IPR000515	Domain	ABC transporter type 1, transmembrane domain MetI-like
IPR000516	0	0	0	0	0	0	0	2	0	0	6	3	6	0	6	7	6	9	0	6	IPR000516	Family	Nickel-dependent hydrogenase b-type cytochrome subunit
IPR000518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	IPR000518	Family	Metallothionein, family 14, prokaryote
IPR000522	0	0	2	0	0	2	0	2	0	0	2	2	4	0	2	4	2	4	2	2	IPR000522	Family	ABC transporter, permease protein, BtuC-like
IPR000523	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	1	1	2	0	1	IPR000523	Domain	Magnesium chelatase ChlI-like, catalytic domain
IPR000524	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	IPR000524	Domain	Transcription regulator HTH, GntR
IPR000525	0	0	0	0	0	0	9	0	0	0	1	0	0	0	1	0	2	1	1	1	IPR000525	Domain	Initiator Rep protein
IPR000527	0	0	0	0	0	0	0	1	0	0	7	0	2	0	5	6	7	7	0	7	IPR000527	Family	Flagellar L-ring protein
IPR000529	0	0	0	0	0	0	0	0	0	0	3	0	3	0	3	5	3	3	0	3	IPR000529	Family	Ribosomal protein S6
IPR000531	0	3	4	1	0	0	3	3	0	0	6	4	7	0	6	7	9	5	3	5	IPR000531	Domain	TonB-dependent receptor-like, beta-barrel
IPR000534	0	0	0	0	0	0	0	2	0	0	2	2	2	0	0	2	1	2	0	2	IPR000534	Domain	Semialdehyde dehydrogenase, NAD-binding
IPR000537	0	1	0	0	0	0	1	0	0	0	1	0	1	0	2	1	2	1	0	1	IPR000537	Family	UbiA prenyltransferase family
IPR000540	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	IPR000540	Conserved_site	Flagellar motor protein MotA, conserved site
IPR000544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	IPR000544	Family	Octanoyltransferase
IPR000550	0	3	0	0	0	0	0	0	0	0	4	1	3	0	3	7	4	4	4	4	IPR000550	Domain	7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK
IPR000551	3	9	0	0	0	0	2	0	0	0	4	4	3	0	3	8	0	8	1	6	IPR000551	Domain	MerR-type HTH domain
IPR000565	0	0	0	0	0	0	0	0	0	0	7	0	6	0	9	10	9	10	0	12	IPR000565	Family	DNA topoisomerase, type IIA, subunit B
IPR000568	0	4	6	0	0	0	0	0	0	0	5	0	1	0	4	5	1	7	0	7	IPR000568	Family	ATP synthase, F0 complex, subunit A
IPR000569	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000569	Domain	HECT domain
IPR000572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	IPR000572	Domain	Oxidoreductase, molybdopterin-binding domain
IPR000573	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	IPR000573	Domain	Aconitase A/isopropylmalate dehydratase small subunit, swivel domain
IPR000581	0	1	3	0	0	0	3	1	0	0	1	1	1	1	1	3	2	1	3	1	IPR000581	Family	Dihydroxy-acid/6-phosphogluconate dehydratase
IPR000587	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	IPR000587	Domain	Creatinase, N-terminal
IPR000589	0	0	4	0	0	0	0	1	0	0	3	0	0	0	4	4	2	4	0	4	IPR000589	Family	Ribosomal protein S15
IPR000594	0	0	0	0	0	0	1	1	0	0	2	0	1	0	1	2	2	2	0	2	IPR000594	Domain	THIF-type NAD/FAD binding fold
IPR000595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	IPR000595	Domain	Cyclic nucleotide-binding domain
IPR000597	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	2	1	0	1	IPR000597	Family	Ribosomal protein L3
IPR000600	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	IPR000600	Family	ROK family
IPR000620	0	1	0	0	0	0	2	0	0	0	2	1	2	0	1	2	0	2	1	2	IPR000620	Domain	EamA domain
IPR000623	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	2	2	0	2	IPR000623	Family	Shikimate kinase/Threonine synthase-like 1
IPR000629	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000629	Conserved_site	ATP-dependent RNA helicase DEAD-box, conserved site
IPR000630	0	0	2	0	0	0	0	0	0	0	4	0	4	0	4	8	4	4	0	4	IPR000630	Family	Ribosomal protein S8
IPR000631	0	0	3	0	0	0	1	2	0	0	4	3	4	0	3	8	5	7	0	4	IPR000631	Family	ATP/ADP-dependent (S)-NAD(P)H-hydrate dehydratase
IPR000634	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	1	1	IPR000634	Binding_site	Serine/threonine dehydratase, pyridoxal-phosphate-binding site
IPR000640	0	0	0	0	0	0	0	0	0	0	5	3	4	1	4	4	4	4	3	4	IPR000640	Domain	Elongation factor EFG, domain V-like
IPR000641	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	IPR000641	Family	CbxX/CfxQ
IPR000642	0	0	0	0	0	0	1	1	0	0	2	0	1	0	1	1	1	1	0	1	IPR000642	Domain	Peptidase M41
IPR000644	0	0	0	0	0	0	0	2	0	0	16	0	16	0	12	20	13	16	0	16	IPR000644	Domain	CBS domain
IPR000652	0	0	6	0	0	0	0	0	0	0	7	0	3	0	8	4	6	4	2	4	IPR000652	Family	Triosephosphate isomerase
IPR000653	0	0	4	0	0	0	0	2	0	0	4	3	4	0	4	5	4	4	2	4	IPR000653	Family	DegT/DnrJ/EryC1/StrS aminotransferase
IPR000667	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000667	Family	Peptidase S13, D-Ala-D-Ala carboxypeptidase C
IPR000671	0	0	0	0	0	0	0	7	0	0	5	0	8	0	8	8	8	11	8	8	IPR000671	Family	Peptidase A31 family
IPR000672	0	0	0	0	0	0	0	0	0	0	8	0	8	0	8	8	5	8	0	8	IPR000672	Family	Tetrahydrofolate dehydrogenase/cyclohydrolase
IPR000682	0	0	0	0	0	0	3	0	0	0	4	0	4	0	0	4	3	4	3	4	IPR000682	Family	Protein-L-isoaspartate(D-aspartate) O-methyltransferase
IPR000683	0	0	2	0	0	0	0	0	0	0	2	0	1	1	1	1	1	1	1	1	IPR000683	Domain	Gfo/Idh/MocA-like oxidoreductase, N-terminal
IPR000685	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000685	Domain	Ribulose bisphosphate carboxylase, large subunit, C-terminal
IPR000688	0	0	4	0	0	0	0	0	0	0	5	0	5	0	5	5	4	5	0	6	IPR000688	Family	Hydrogenase maturation factor HypA/HybF
IPR000700	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000700	Domain	PAS-associated, C-terminal
IPR000701	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	IPR000701	Family	Succinate dehydrogenase/fumarate reductase type B, transmembrane subunit
IPR000702	0	0	2	0	0	0	1	0	0	0	2	0	2	0	2	3	2	2	2	2	IPR000702	Family	Ribosomal protein L6
IPR000711	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1	IPR000711	Family	ATPase, OSCP/delta subunit
IPR000713	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	2	1	1	IPR000713	Domain	Mur ligase, N-terminal catalytic domain
IPR000715	0	2	0	2	0	0	2	3	0	0	5	1	4	2	5	6	4	4	0	4	IPR000715	Family	Glycosyl transferase, family 4
IPR000717	1	1	2	2	1	2	2	0	1	0	0	0	0	1	0	0	0	0	1	0	IPR000717	Domain	Proteasome component (PCI) domain
IPR000719	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	IPR000719	Domain	Protein kinase domain
IPR000722	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	2	0	1	IPR000722	Domain	RNA polymerase, alpha subunit
IPR000727	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000727	Domain	Target SNARE coiled-coil homology domain
IPR000731	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	IPR000731	Domain	Sterol-sensing domain
IPR000740	0	0	0	0	0	0	0	0	0	0	9	0	6	0	6	9	6	9	4	9	IPR000740	Family	GrpE nucleotide exchange factor
IPR000748	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1	IPR000748	Family	Pseudouridine synthase, RsuA/RluB/E/F
IPR000754	0	2	0	0	0	0	0	2	0	0	2	0	2	0	2	2	2	2	0	2	IPR000754	Family	Ribosomal protein S9
IPR000760	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	IPR000760	Family	Inositol monophosphatase-like
IPR000763	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000763	Family	Catalase-peroxidase haem
IPR000771	0	3	0	0	0	0	0	2	0	0	6	6	6	0	6	6	6	6	0	6	IPR000771	Family	Fructose-bisphosphate aldolase, class-II
IPR000780	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000780	Domain	MCP methyltransferase, CheR-type
IPR000788	0	0	0	0	0	0	0	1	4	0	8	1	10	4	2	9	8	8	6	8	IPR000788	Domain	Ribonucleotide reductase large subunit, C-terminal
IPR000792	0	7	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0	IPR000792	Domain	Transcription regulator LuxR, C-terminal
IPR000793	0	0	0	0	0	0	0	2	0	0	2	1	2	0	0	4	2	2	0	2	IPR000793	Domain	ATP synthase, alpha subunit, C-terminal
IPR000794	0	0	0	0	1	0	0	0	0	0	2	1	2	0	2	3	4	3	1	3	IPR000794	Family	Beta-ketoacyl synthase
IPR000795	6	6	4	0	0	0	7	2	0	0	29	19	29	0	22	31	22	35	5	30	IPR000795	Domain	Translational (tr)-type GTP-binding domain
IPR000807	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	IPR000807	Family	Imidazoleglycerol-phosphate dehydratase
IPR000808	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	IPR000808	Conserved_site	Mrp, conserved site
IPR000811	0	0	4	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	IPR000811	Family	Glycosyl transferase, family 35
IPR000816	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000816	Family	Peptidase C15, pyroglutamyl peptidase I
IPR000819	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	3	2	2	2	IPR000819	Domain	Peptidase M17, leucyl aminopeptidase, C-terminal
IPR000821	0	0	0	0	0	0	0	0	0	0	11	0	11	0	7	11	10	11	0	11	IPR000821	Family	Alanine racemase
IPR000825	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	IPR000825	Family	SUF system FeS cluster assembly, SufBD
IPR000829	0	0	0	0	0	0	3	0	0	0	2	0	3	0	3	3	1	3	0	3	IPR000829	Family	DAGK family
IPR000835	0	3	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	IPR000835	Domain	MarR-type HTH domain
IPR000836	0	0	0	2	0	0	4	4	0	0	8	1	7	0	8	8	4	10	2	9	IPR000836	Domain	Phosphoribosyltransferase domain
IPR000838	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	IPR000838	Conserved_site	RNA polymerase sigma factor 70, ECF, conserved site
IPR000842	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	IPR000842	Conserved_site	Phosphoribosyl pyrophosphate synthetase, conserved site
IPR000843	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	IPR000843	Domain	LacI-type HTH domain
IPR000845	1	0	1	0	0	0	0	0	0	0	2	1	3	0	1	4	3	3	1	3	IPR000845	Domain	Nucleoside phosphorylase domain
IPR000846	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	1	0	1	IPR000846	Domain	Dihydrodipicolinate reductase, N-terminal
IPR000847	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000847	Domain	Transcription regulator HTH, LysR
