Species	Sample	HP	16s	metagenome
A4$Amniculibacterium	A4	Hp-negative	0	0
A4$Amnipila	A4	Hp-negative	0	0
A4$Amphibacillus	A4	Hp-negative	0	0.3735915
A4$Amycolatopsis	A4	Hp-negative	0	0.056239581
A4$Anabaena_cylindrica	A4	Hp-negative	0	0
A4$Anabaena_sp._90	A4	Hp-negative	0	0
A4$Anabaena_sp._WA102	A4	Hp-negative	0	0
A4$Anaerobacillus	A4	Hp-negative	0	0
A4$Anaerobiospirillum	A4	Hp-negative	0	0
A4$Anaerobutyricum	A4	Hp-negative	0	0.022094121
A4$Anaerococcus	A4	Hp-negative	0	0.086367927
A4$Anaerocolumna	A4	Hp-negative	0	0.044188242
A4$Anaeromyxobacter	A4	Hp-negative	0	0
A4$Anaeroplasma	A4	Hp-negative	0	0
A4$Anaerospora	A4	Hp-negative	0	0
A4$Anaerostipes	A4	Hp-negative	0	0.038162573
A4$Anaerotruncus	A4	Hp-negative	0.310670869	0
A4$Aneurinibacillus	A4	Hp-negative	0	0.022094121
A4$Anoxybacillus	A4	Hp-negative	0.108059433	0
A4$Anoxybacter_fermentans	A4	Hp-negative	0	0
A4$Anseongella	A4	Hp-negative	0	0
A4$Antarcticibacterium	A4	Hp-negative	0	0
A4$Apibacter	A4	Hp-negative	0	0.038162573
A4$Apilactobacillus	A4	Hp-negative	0	0
A4$Aquabacterium	A4	Hp-negative	0.117064385	0
A4$Aquamicrobium	A4	Hp-negative	0.166591625	0
A4$Aquicella	A4	Hp-negative	0	0
A4$Aquifex	A4	Hp-negative	0	0.068290919
A4$Aquiflexum	A4	Hp-negative	0	0
A4$Aquihabitans	A4	Hp-negative	0	0
A4$Aquiluna	A4	Hp-negative	0	0.022094121
A4$Aquimarina	A4	Hp-negative	0	0.044188242
A4$Aquirufa	A4	Hp-negative	0	0
A4$Aquisphaera	A4	Hp-negative	0	0
A4$Arabia	A4	Hp-negative	0	0
A4$Arachidicoccus	A4	Hp-negative	0	0.060256694
A4$Archangium	A4	Hp-negative	0	0.060256694
A4$Arcicella	A4	Hp-negative	0	0
A4$Arcobacter	A4	Hp-negative	0	0.146624621
A4$Arcticibacterium	A4	Hp-negative	0	0.038162573
A4$Arenibacter	A4	Hp-negative	0	0
A4$Arenimonas	A4	Hp-negative	0	0
A4$Aromatoleum	A4	Hp-negative	0	0.130556169
A4$Arsenicicoccus	A4	Hp-negative	0	0
A4$Arsenophonus	A4	Hp-negative	0	0
A4$Arthrobacter	A4	Hp-negative	0	3.715829433
A4$ASF356	A4	Hp-negative	0	0
A4$Asinibacterium	A4	Hp-negative	0	0
A4$Asteroleplasma	A4	Hp-negative	0	0
A4$Asticcacaulis	A4	Hp-negative	0	0.038162573
A4$Atopobium	A4	Hp-negative	0	0
A4$Atopostipes	A4	Hp-negative	0.090049527	0
A4$Atribacter	A4	Hp-negative	0	0.022094121
A4$Aurantisolimonas	A4	Hp-negative	0	0
A4$Auraticoccus	A4	Hp-negative	0	0
A4$Aureimonas	A4	Hp-negative	0	0
A4$Aureliella	A4	Hp-negative	0	0
A4$Avibacterium	A4	Hp-negative	0.166591625	0
A4$Azoarcus	A4	Hp-negative	0	0.09641071
A4$Azospirillum	A4	Hp-negative	0	0.094402153
A4$Bacillus	A4	Hp-negative	0.79243584	3.944804869
A4$Bacteroides	A4	Hp-negative	1.625393967	0.626669613
A4$Barnesiella	A4	Hp-negative	0	0
A4$Bartonella	A4	Hp-negative	0	0.072308032
A4$Basfia	A4	Hp-negative	0	0
A4$Bathymodiolus_thermophilus_thioautotrophic_gill_symbiont	A4	Hp-negative	0	0
A4$Bdellovibrio	A4	Hp-negative	0	0.032136903
A4$Beggiatoa	A4	Hp-negative	0.081044575	0
A4$Belliella	A4	Hp-negative	0	0.024102677
A4$Bergeyella	A4	Hp-negative	0.950022512	0
A4$Bernardetia	A4	Hp-negative	0	0.03414546
A4$Bhargavaea	A4	Hp-negative	0	0
A4$Bifidobacterium	A4	Hp-negative	0	0.036154016
A4$Bilophila	A4	Hp-negative	0	0
A4$Biomaibacter	A4	Hp-negative	0	0
A4$Bisgaardia	A4	Hp-negative	0	0.02811979
A4$Blastomonas	A4	Hp-negative	0	0
A4$Blattabacterium	A4	Hp-negative	0	0.261112339
A4$Blautia	A4	Hp-negative	0.864475462	0.098419266
A4$Blvii28_wastewater-sludge_group	A4	Hp-negative	0	0
A4$Bombella	A4	Hp-negative	0	0
A4$Bordetella	A4	Hp-negative	0	0
A4$Borrelia	A4	Hp-negative	0	0.325386145
A4$Borreliella	A4	Hp-negative	0	0.275172234
A4$Bosea	A4	Hp-negative	0	0.022094121
A4$Boseongicola	A4	Hp-negative	0	0
A4$Botrimarina	A4	Hp-negative	0	0.02811979
A4$Brachybacterium	A4	Hp-negative	0	0
A4$Brachyspira	A4	Hp-negative	0	0.303292024
A4$Bradyrhizobium	A4	Hp-negative	0.193606484	0.721071766
A4$Brasilonema_sennae	A4	Hp-negative	0	0
A4$Brenneria	A4	Hp-negative	0	0
A4$Brevibacillus	A4	Hp-negative	0	0.156667403
A4$Brevibacterium	A4	Hp-negative	0	0
A4$Brevundimonas	A4	Hp-negative	0.436740207	0.126539056
A4$Brochothrix	A4	Hp-negative	0	0.026111234
A4$Brucella	A4	Hp-negative	0	0.198847089
A4$Buchnera	A4	Hp-negative	0	0.3735915
A4$Burkholderia	A4	Hp-negative	0	0.403719847
A4$Burkholderia-Caballeronia-Paraburkholderia	A4	Hp-negative	0.09905448	0
A4$Buttiauxella	A4	Hp-negative	0	0
A4$Butyricicoccus	A4	Hp-negative	0.243133724	0
A4$Butyricimonas	A4	Hp-negative	0	0
A4$Butyrivibrio	A4	Hp-negative	0.477262494	0.032136903
A4$CAG-56	A4	Hp-negative	0	0
A4$Caldanaerobacter	A4	Hp-negative	0	0
A4$Caldibacillus	A4	Hp-negative	0	0.036154016
A4$Caldicellulosiruptor	A4	Hp-negative	0	0.098419266
A4$Caldisericum	A4	Hp-negative	0	0
A4$Calditerrivibrio	A4	Hp-negative	0	0
A4$Caloramator	A4	Hp-negative	0	0.024102677
A4$Caloranaerobacter	A4	Hp-negative	0	0.020085565
A4$Calothrix_brevissima	A4	Hp-negative	0	0.09038504
A4$Calothrix_parasitica	A4	Hp-negative	0	0.052222468
A4$Calothrix_PCC-6303	A4	Hp-negative	0	0
A4$Calothrix_sp._336/3	A4	Hp-negative	0	0.156667403
A4$Calothrix_sp._NIES-2098	A4	Hp-negative	0	0
A4$Calothrix_sp._NIES-2100	A4	Hp-negative	0	0
A4$Calothrix_sp._PCC_6303	A4	Hp-negative	0	0.048205355
A4$Calothrix_sp._PCC_7507	A4	Hp-negative	0	0
A4$Caminibacter	A4	Hp-negative	0	0.044188242
A4$Campylobacter	A4	Hp-negative	0.045024764	0.55436158
A4$Candidatus_Amoebophilus	A4	Hp-negative	0	0
A4$Candidatus_Armantifilum	A4	Hp-negative	0	0
A4$Candidatus_Arthromitus	A4	Hp-negative	0	0.044188242
A4$Candidatus_Atelocyanobacterium_thalassa	A4	Hp-negative	0	0
A4$Candidatus_Babela_massiliensis	A4	Hp-negative	0	0
A4$Candidatus_Bacilloplasma	A4	Hp-negative	0	0
A4$Candidatus_Blochmannia	A4	Hp-negative	0	0
A4$Candidatus_Cardinium	A4	Hp-negative	0	0.020085565
A4$Candidatus_Carsonella	A4	Hp-negative	0	0.050213911
A4$Candidatus_Cytomitobacter	A4	Hp-negative	0	0
A4$Candidatus_Deianiraea	A4	Hp-negative	0	0
A4$Candidatus_Desulfofervidus_auxilii	A4	Hp-negative	0	0
A4$Candidatus_Endolissoclinum	A4	Hp-negative	0	0.026111234
A4$Candidatus_Fonsibacter_ubiquis	A4	Hp-negative	0	0.030128347
A4$Candidatus_Formimonas	A4	Hp-negative	0	0
A4$Candidatus_Gullanella	A4	Hp-negative	0	0.024102677
A4$Candidatus_Hamiltonella	A4	Hp-negative	0	0
A4$Candidatus_Hodgkinia_cicadicola	A4	Hp-negative	0	0
A4$Candidatus_Kinetoplastibacterium	A4	Hp-negative	0	0
A4$Candidatus_Kinetoplastibacterium.1	A4	Hp-negative	0	0
A4$Candidatus_Kinetoplastibacterium.2	A4	Hp-negative	0	0.020085565
A4$Candidatus_Kuenenia	A4	Hp-negative	0	0
A4$Candidatus_Methylopumilus	A4	Hp-negative	0	0
A4$Candidatus_Nanosynbacter	A4	Hp-negative	0	0
A4$Candidatus_Neoehrlichia	A4	Hp-negative	0	0.050213911
A4$Candidatus_Nitrotoga	A4	Hp-negative	0	0.02811979
A4$Candidatus_Obscuribacter	A4	Hp-negative	0	0
A4$Candidatus_Paracaedibacter	A4	Hp-negative	0.2476362	0
A4$Candidatus_Pelagibacter	A4	Hp-negative	0	0
A4$Candidatus_Phycorickettsia	A4	Hp-negative	0	0
A4$Candidatus_Phytoplasma	A4	Hp-negative	0	0
A4$Candidatus_Portiera	A4	Hp-negative	0	0.026111234
A4$Candidatus_Profftia	A4	Hp-negative	0	0.02811979
A4$Candidatus_Promineofilum	A4	Hp-negative	0	0.030128347
A4$Candidatus_Protochlamydia	A4	Hp-negative	0	0
A4$Candidatus_Purcelliella	A4	Hp-negative	0	0
A4$Candidatus_Reidiella	A4	Hp-negative	0	0
A4$Candidatus_Ruthia	A4	Hp-negative	0	0
A4$Candidatus_Soleaferrea	A4	Hp-negative	0	0
A4$Candidatus_Solibacter	A4	Hp-negative	0	0.022094121
A4$Candidatus_Sulcia_muelleri	A4	Hp-negative	0	0
A4$Candidatus_Syntrophocurvum	A4	Hp-negative	0	0.038162573
A4$Candidatus_Tachikawaea	A4	Hp-negative	0	0.022094121
A4$Candidatus_Thioglobus	A4	Hp-negative	0	0
A4$Candidatus_Thioglobus.1	A4	Hp-negative	0	0
A4$Candidatus_Vestibaculum	A4	Hp-negative	0.117064385	0
A4$Candidatus_Xenohaliotis	A4	Hp-negative	0	0
A4$Capnocytophaga	A4	Hp-negative	0.517784782	0.082350814
A4$Caproiciproducens	A4	Hp-negative	0	0
A4$Carboxydothermus	A4	Hp-negative	0	0
A4$Cardiobacterium	A4	Hp-negative	0	0
A4$Carnobacterium	A4	Hp-negative	0	0
A4$Catellatospora	A4	Hp-negative	0	0.022094121
A4$Catenovulum	A4	Hp-negative	0	0
A4$Catenulispora	A4	Hp-negative	0	0
A4$Catonella	A4	Hp-negative	0	0
A4$Caulobacter	A4	Hp-negative	0.616839262	0.022094121
A4$Cedecea	A4	Hp-negative	0	0.052222468
A4$Cellulomonas	A4	Hp-negative	0	0.020085565
A4$Cellulophaga	A4	Hp-negative	0	0.18679575
A4$Cellulosilyticum	A4	Hp-negative	0	0.078333702
A4$Cellvibrio	A4	Hp-negative	0	0.032136903
A4$CENA359	A4	Hp-negative	0	0
A4$Cereibacter	A4	Hp-negative	0	0.020085565
A4$Cetobacterium	A4	Hp-negative	0	0
A4$Chamaesiphon_minutus	A4	Hp-negative	0	0.574447145
A4$Changchengzhania	A4	Hp-negative	0	0
A4$Chazhemtobacterium	A4	Hp-negative	0	0
A4$Chelatococcus	A4	Hp-negative	0	0.088376484
A4$Chitinibacter	A4	Hp-negative	0	0
A4$Chitinimonas	A4	Hp-negative	0	0
A4$Chitinophaga	A4	Hp-negative	0	0.130556169
A4$Chlamydia	A4	Hp-negative	0	0
A4$Chlorobaculum	A4	Hp-negative	0	0
A4$Chlorobium	A4	Hp-negative	0	0
A4$Chloroflexus	A4	Hp-negative	0	0
A4$Chondrocystis_sp._NIES-4102	A4	Hp-negative	0	0.024102677
A4$Chondromyces	A4	Hp-negative	0	0
A4$Christensenella	A4	Hp-negative	0	0
A4$Christensenellaceae_R-7_group	A4	Hp-negative	0	0
A4$Chromobacterium	A4	Hp-negative	0	0
A4$Chroococcidiopsis_thermalis	A4	Hp-negative	0	0
A4$Chryseobacterium	A4	Hp-negative	0.225123818	0.552353024
A4$Chthoniobacter	A4	Hp-negative	0	0
A4$Chthonobacter	A4	Hp-negative	0.14858172	0
A4$Citrobacter	A4	Hp-negative	0	0.261112339
A4$Clavibacter	A4	Hp-negative	0	0
A4$Cloacibacterium	A4	Hp-negative	0.64385412	0.080342258
A4$Cloacimonas	A4	Hp-negative	0	0.03414546
A4$Clostridioides	A4	Hp-negative	0	0.218932653
A4$Clostridium	A4	Hp-negative	0	4.619679836
A4$Clostridium_sensu_stricto_1	A4	Hp-negative	0	0
A4$Clostridium_sensu_stricto_11	A4	Hp-negative	0	0
A4$Clostridium_sensu_stricto_12	A4	Hp-negative	0	0
A4$Clostridium_sensu_stricto_13	A4	Hp-negative	0	0
A4$Clostridium_sensu_stricto_14	A4	Hp-negative	0	0
A4$Clostridium_sensu_stricto_18	A4	Hp-negative	0	0
A4$Clostridium_sensu_stricto_3	A4	Hp-negative	0	0
A4$Clostridium_sensu_stricto_5	A4	Hp-negative	0	0
A4$Clostridium_sensu_stricto_6	A4	Hp-negative	0	0
A4$Clostridium_sensu_stricto_7	A4	Hp-negative	0	0
A4$Cnuella	A4	Hp-negative	0	0
A4$Cognaticolwellia	A4	Hp-negative	0	0
A4$Cohnella	A4	Hp-negative	0.14858172	0.273163677
A4$Colidextribacter	A4	Hp-negative	0.418730302	0
A4$Collimonas	A4	Hp-negative	0	0.022094121
A4$Collinsella	A4	Hp-negative	0	0
A4$Colwellia	A4	Hp-negative	0	0.09038504
A4$Comamonas	A4	Hp-negative	0.283656011	0.03414546
A4$Companilactobacillus	A4	Hp-negative	0	0.024102677
A4$Conchiformibius	A4	Hp-negative	0	0
A4$Coprobacter	A4	Hp-negative	0	0.030128347
A4$Coprococcus	A4	Hp-negative	0	0
A4$Corallococcus	A4	Hp-negative	0	0.044188242
A4$Corynebacterium	A4	Hp-negative	0	0.200855645
A4$Coxiella	A4	Hp-negative	0	0
A4$Crassaminicella	A4	Hp-negative	0	0.088376484
A4$Crateriforma	A4	Hp-negative	0	0
A4$Crinalium_epipsammum	A4	Hp-negative	0	0.026111234
A4$Croceibacter	A4	Hp-negative	0	0
A4$Crocosphaera_subtropica	A4	Hp-negative	0	0
A4$Cronobacter	A4	Hp-negative	0	0
A4$Cupriavidus	A4	Hp-negative	0	0.259103782
A4$Curtobacterium	A4	Hp-negative	0	0.020085565
A4$Curvibacter	A4	Hp-negative	0	0
A4$Cutibacterium	A4	Hp-negative	0.405222873	0.156667403
A4$Cyanobacterium_aponinum	A4	Hp-negative	0	0
A4$cyanobacterium_endosymbiont_of_Epithemia_turgida	A4	Hp-negative	0	0.022094121
A4$cyanobacterium_endosymbiont_of_Rhopalodia_gibberula	A4	Hp-negative	0	0.030128347
A4$Cyanobium_sp._NIES-981	A4	Hp-negative	0	0.026111234
A4$Cyclobacterium	A4	Hp-negative	0	0
A4$Cylindrospermum_stagnale	A4	Hp-negative	0	0
A4$Cystobacter	A4	Hp-negative	0	0
A4$Cytobacillus	A4	Hp-negative	0	0.070299476
A4$Cytophaga	A4	Hp-negative	0	0.050213911
A4$Deferribacter	A4	Hp-negative	0	0.03414546
A4$Defluviitaleaceae_UCG-011	A4	Hp-negative	0	0
A4$Defluviitoga	A4	Hp-negative	0	0
A4$Dehalococcoides	A4	Hp-negative	0	0.038162573
A4$Dehalogenimonas	A4	Hp-negative	0	0.026111234
A4$Deinococcus	A4	Hp-negative	0	0
A4$Delftia	A4	Hp-negative	0.180099054	0.066282363
A4$Denitratisoma	A4	Hp-negative	0	0
A4$Dermatophilus	A4	Hp-negative	0	0.03414546
A4$Desulfallas	A4	Hp-negative	0	0
A4$Desulfarculus	A4	Hp-negative	0	0
A4$Desulfatibacillum	A4	Hp-negative	0	0.02811979
A4$Desulfitobacterium	A4	Hp-negative	0	0
A4$Desulfobacter	A4	Hp-negative	0	0
A4$Desulfobacula	A4	Hp-negative	0	0
A4$Desulfofarcimen	A4	Hp-negative	0	0
A4$Desulfoglaeba	A4	Hp-negative	0	0
A4$Desulfolutivibrio	A4	Hp-negative	0	0
A4$Desulfonema	A4	Hp-negative	0	0
A4$Desulfopila	A4	Hp-negative	0	0
A4$Desulfosarcina	A4	Hp-negative	0	0.134573282
A4$Desulfosporosinus	A4	Hp-negative	0	0
A4$Desulfotalea	A4	Hp-negative	0	0
A4$Desulfotomaculum	A4	Hp-negative	0	0
A4$Desulfovibrio	A4	Hp-negative	0	0.082350814
A4$Desulfuromonas	A4	Hp-negative	0	0.144616064
A4$Devosia	A4	Hp-negative	0.886987843	0
A4$Dialister	A4	Hp-negative	0	0
A4$Diaphorobacter	A4	Hp-negative	0.589824403	0.032136903
A4$Dickeya	A4	Hp-negative	0	0.044188242
A4$Dictyoglomus	A4	Hp-negative	0	0.054231024
A4$Dietzia	A4	Hp-negative	0	0
A4$Dinoroseobacter	A4	Hp-negative	0	0
A4$Dissulfurispira	A4	Hp-negative	0	0
A4$Dokdonella	A4	Hp-negative	0.072039622	0.020085565
A4$Dokdonia	A4	Hp-negative	0	0
A4$Dolosigranulum	A4	Hp-negative	0	0.022094121
A4$Domibacillus	A4	Hp-negative	0	0
A4$Dongshaea	A4	Hp-negative	0	0
A4$Dorea	A4	Hp-negative	0.112561909	0
A4$Draconibacterium	A4	Hp-negative	0	0
A4$Dubosiella	A4	Hp-negative	0	0
A4$Duganella	A4	Hp-negative	0	0
A4$Dyadobacter	A4	Hp-negative	0	0.020085565
A4$Dyella	A4	Hp-negative	0	0
A4$Dysgonomonas	A4	Hp-negative	0	0
A4$Dysosmobacter	A4	Hp-negative	0	0
A4$Echinicola	A4	Hp-negative	0	0.032136903
A4$Edwardsiella	A4	Hp-negative	0	0.060256694
A4$Effusibacillus	A4	Hp-negative	0	0
A4$Eggerthia	A4	Hp-negative	0	0
A4$Egibacter	A4	Hp-negative	0	0.072308032
A4$Ehrlichia	A4	Hp-negative	0	0.204872758
A4$Elioraea	A4	Hp-negative	0	0
A4$Elizabethkingia	A4	Hp-negative	0	0.142607508
A4$Ellin6055	A4	Hp-negative	0	0
A4$Elusimicrobium	A4	Hp-negative	0	0
A4$Empedobacter	A4	Hp-negative	0	0.068290919
A4$Endomicrobium	A4	Hp-negative	0	0
A4$endosymbiont_of_Acanthamoeba_sp._UWC8	A4	Hp-negative	0	0
A4$endosymbiont_TC1_of_Trimyema_compressum	A4	Hp-negative	0	0
A4$endosymbionts	A4	Hp-negative	0	0
A4$Endozoicomonas	A4	Hp-negative	0	0
A4$Enhydrobacter	A4	Hp-negative	0	0
A4$Ensifer	A4	Hp-negative	0	0.042179685
A4$Enterobacter	A4	Hp-negative	0.243133724	0.170727298
A4$Enterobacteriaceae_endosymbiont_of_Donacia_bicoloricornis	A4	Hp-negative	0	0.036154016
A4$Enterobacteriaceae_endosymbiont_of_Donacia_clavipes	A4	Hp-negative	0	0
A4$Enterobacteriaceae_endosymbiont_of_Donacia_crassipes	A4	Hp-negative	0	0
A4$Enterobacteriaceae_endosymbiont_of_Donacia_fulgens	A4	Hp-negative	0	0
A4$Enterobacteriaceae_endosymbiont_of_Donacia_marginata	A4	Hp-negative	0	0.044188242
A4$Enterobacteriaceae_endosymbiont_of_Donacia_provostii	A4	Hp-negative	0	0
A4$Enterobacteriaceae_endosymbiont_of_Donacia_proxima	A4	Hp-negative	0	0
A4$Enterobacteriaceae_endosymbiont_of_Donacia_sparganii	A4	Hp-negative	0	0
A4$Enterobacteriaceae_endosymbiont_of_Macroplea_mutica	A4	Hp-negative	0	0
A4$Enterobacteriaceae_endosymbiont_of_Neohaemonia_nigricornis	A4	Hp-negative	0	0
A4$Enterobacteriaceae_endosymbiont_of_Plateumaris_rustica	A4	Hp-negative	0	0
A4$Enterocloster	A4	Hp-negative	0	0
A4$Enterococcus	A4	Hp-negative	0.162089149	0.510173338
A4$Entomobacter	A4	Hp-negative	0	0
A4$Entomomonas	A4	Hp-negative	0	0
A4$Entomoplasma	A4	Hp-negative	0	0
A4$Ephemeroptericola	A4	Hp-negative	0	0
A4$Epilithonimonas	A4	Hp-negative	0	0
A4$Ereboglobus	A4	Hp-negative	0	0
A4$Erwinia	A4	Hp-negative	0	0.184787193
A4$Erysipelatoclostridium	A4	Hp-negative	0	0.106453492
A4$Erysipelothrix	A4	Hp-negative	0	0
A4$Erysipelotrichaceae_UCG-007	A4	Hp-negative	0	0
A4$Erythrobacter	A4	Hp-negative	0	0.038162573
A4$Escherichia	A4	Hp-negative	0	0.654789403
A4$Escherichia-Shigella	A4	Hp-negative	1.900045025	0
A4$Eubacterium	A4	Hp-negative	0	0
A4$Euhalothece_natronophila	A4	Hp-negative	0	0
A4$Euzebya	A4	Hp-negative	0	0
A4$Euzebyella	A4	Hp-negative	0	0
A4$Evansella	A4	Hp-negative	0	0.052222468
A4$Exiguobacterium	A4	Hp-negative	0	0
A4$Exiguobacterium_alkaliphilum	A4	Hp-negative	0	0
A4$Exiguobacterium_sp._AT1b	A4	Hp-negative	0	0
A4$Exiguobacterium_sp._Helios	A4	Hp-negative	0	0
A4$Exiguobacterium_sp._PFWT01	A4	Hp-negative	0	0
A4$Ezakiella	A4	Hp-negative	0	0.022094121
A4$f__Acidaminococcaceae_uncultured	A4	Hp-negative	0	0
A4$f__Anaerovoracaceae_uncultured	A4	Hp-negative	0	0
A4$f__Arcobacteraceae_uncultured	A4	Hp-negative	0	0
A4$f__Bacillaceae_uncultured	A4	Hp-negative	0	0
A4$f__Barnesiellaceae_uncultured	A4	Hp-negative	0	0
A4$f__Beijerinckiaceae_uncultured	A4	Hp-negative	0	0
A4$f__Burkholderiaceae_uncultured	A4	Hp-negative	0	0
A4$f__Cardiobacteriaceae_uncultured	A4	Hp-negative	0	0
A4$f__Caulobacteraceae_uncultured	A4	Hp-negative	0	0
A4$f__Chitinophagaceae_uncultured	A4	Hp-negative	0	0
A4$f__Chlamydiaceae_uncultured	A4	Hp-negative	0	0
A4$f__Comamonadaceae_uncultured	A4	Hp-negative	0.175596578	0
A4$f__Cyclobacteriaceae_uncultured	A4	Hp-negative	0.157586673	0
A4$f__Desulfovibrionaceae_uncultured	A4	Hp-negative	0	0
A4$f__Dethiobacteraceae_uncultured	A4	Hp-negative	0	0
A4$f__Diplorickettsiaceae_uncultured	A4	Hp-negative	0	0
A4$f__Dysgonomonadaceae_uncultured	A4	Hp-negative	0	0
A4$f__Erysipelotrichaceae_uncultured	A4	Hp-negative	0	0
A4$f__Gemmatimonadaceae_uncultured	A4	Hp-negative	0	0
A4$f__Helicobacteraceae_uncultured	A4	Hp-negative	0	0
A4$f__Hungateiclostridiaceae_uncultured	A4	Hp-negative	0	0
A4$f__Hyphomicrobiaceae_uncultured	A4	Hp-negative	0	0
A4$f__Lachnospiraceae_uncultured	A4	Hp-negative	2.665466006	0
A4$f__Leptotrichiaceae_uncultured	A4	Hp-negative	0	0
A4$f__Magnetospiraceae_uncultured	A4	Hp-negative	0	0
A4$f__Marinifilaceae_uncultured	A4	Hp-negative	0	0
A4$f__Marinilabiliaceae_uncultured	A4	Hp-negative	0	0
A4$f__Moritellaceae_uncultured	A4	Hp-negative	0	0
A4$f__Mycoplasmataceae_uncultured	A4	Hp-negative	0	0
A4$f__Neisseriaceae_uncultured	A4	Hp-negative	0.054029716	0
A4$f__Oscillospiraceae_uncultured	A4	Hp-negative	1.850517785	0
A4$f__Paenibacillaceae_uncultured	A4	Hp-negative	0	0
A4$f__Paludibacteraceae_uncultured	A4	Hp-negative	0	0
A4$f__Pasteurellaceae_uncultured	A4	Hp-negative	0	0
A4$f__Peptococcaceae_uncultured	A4	Hp-negative	0.19810896	0
A4$f__Peptostreptococcaceae_uncultured	A4	Hp-negative	0	0
A4$f__Prevotellaceae_uncultured	A4	Hp-negative	0	0
A4$f__Prolixibacteraceae_uncultured	A4	Hp-negative	0	0
