Key	Actinomyces	Aerococcus	Arthrobacter	Atopobium	Bacillus	Campylobacter	Cutibacterium/Propionibacterium	Enterococcus	Gemella	Gordonia	Helicobacter	Lactobacillus	Mogibacterium	Moraxella	Neisseria	Paenibacillus	Prevotella	Rothia	Staphylococcus	Streptococcus	Veillonella
E1_16s	1	0	0	0	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	1
E1_culture	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E1_metagenome	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	0
E2_16s	1	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	1	1	1	1
E2_culture	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2_metagenome	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	1
E4_16s	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1
E4_culture	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1
E4_metagenome	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	0
E5_16s	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	1	1	1
E5_culture	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
E5_metagenome	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1
F2_16s	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0
F2_culture	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
F2_metagenome	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1
F3_16s	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	1	0	1	1	1
F3_culture	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0
F3_metagenome	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	0
G1_16s	0	1	0	0	1	0	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1
G1_culture	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G1_metagenome	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1
G2_16s	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1
G2_culture	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G2_metagenome	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1
H2_16s	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1
H2_culture	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
H2_metagenome	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1
H4_16s	0	0	0	0	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1
H4_culture	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0
H4_metagenome	1	0	1	0	1	0	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0
